,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
286,evil or live,series,13,3.6,"الفجور, المحتوى الجنسي, الصور الجنسية, الانتحار, العنف",1,2017,1087
287,ex-arm,series,12,1.7,"الفجور, العنف",1,2021,2904
288,excel saga,series,26,4.4,"العري, الفجور, المحتوى الجنسي, العنف",1,2022,618
289,extra olympia kyklos,series,24,3.6,"الفجور, العنف",1,2020,554
290,extreme hearts,series,12,4.2,الفجور,1,2022,1183
291,eyeshield 21,series,145,4.7,"العري, التدخين, حوار ملمح, العنف",3,2008,11149
292,fafner the beyond,series,12,3.5,"الفجور, العنف",1,2025,433
293,failure frame: i became the strongest and annihilated everything with low-level spells,series,12,4.5,العنف,1,2024,76181
294,fairies album,series,48,4.1,"تعاطي المخدرات/الكحول, العنف الجنسي, التدخين, حوار ملمح, الانتحار, العنف",4,2025,2531
295,fairy musketeers,series,39,4.5,"الفجور, العنف",1,2008,1097
296,fairy princess minky momo,series,128,3.7,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, حوار ملمح, العنف",2,2024,482
297,fairy ranmaru,series,12,3.5,"الفجور, المحتوى الجنسي, الصور الجنسية, الانتحار, العنف",1,2021,1056
298,fairy tail,series,154,4.7,"العري, الفجور, التدخين, العنف",2,2022,50487
299,fanfare of adolescence,series,13,4.0,الفجور,1,2022,1033
300,fantasia sango - realm of legends,series,12,3.1,"التدخين, رعب خارق للطبيعة, العنف",1,2022,514
301,"farewell, my dear cramer",series,14,4.0,الفجور,2,2021,1067
302,farmagia,series,12,3.0,"الصور الجنسية, العنف",1,2025,5759
303,fastest finger first,series,12,4.1,الفجور,1,2017,665
304,fate/grand carnival,series,2,4.7,"تعاطي المخدرات/الكحول, التدخين, الصور الجنسية",1,2022,1733
